uniq,phylum,class,order,family,genus,species
uniq160,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Delibus,Delibus
uniq16000,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq16002,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Sagitta,Sagitta
uniq1602,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq16020,Mollusca,Gastropoda,Gastropoda,Aplysiida,Stylocheilus,Stylocheilus
uniq16038,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq16114,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aidanosagitta,Aidanosagitta
uniq16120,Porifera,Demospongiae,Demospongiae,Poecilosclerida,Poecilosclerida,Poecilosclerida
uniq1613,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Acartia,Acartia
uniq16131,Arthropoda,Hexanauplia,Hexanauplia,Poecilostomatoida,Poecilostomatoida,Poecilostomatoida
uniq16132,Arthropoda,Malacostraca,Malacostraca,Decapoda,Metapenaeopsis,Metapenaeopsis
uniq16144,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq16175,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq16180,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq16181,Mollusca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda
uniq1619,Cnidaria,Anthozoa,Anthozoa,Actiniaria,Actiniaria,Actiniaria
uniq16221,Annelida,Polychaeta,Polychaeta,Echiuroidea,Ochetostoma,Ochetostoma
uniq1624,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Pontellina,Pontellina
uniq16247,Chordata,Actinopteri,Actinopteri,Perciformes,Cephalopholis,Cephalopholis
uniq16268,Mollusca,Gastropoda,Gastropoda,Gastropoda,Elysia,Elysia
uniq16289,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix koehleri
