uniq,taxonomy
uniq21422,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq24690,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq24745,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq26171,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq27482,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq129,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Centropagidae_136181,g:Centropages_136182,s:Centropages"
uniq243,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Centropagidae_136181,g:Centropages_136182,s:Centropages"
uniq358,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Centropagidae_136181,g:Centropages_136182,s:Centropages"
uniq677,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Centropagidae_136181,g:Centropages_136182,s:Centropages"
uniq1289,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Centropagidae_136181,g:Centropages_136182,s:Centropages"
uniq10520,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Centropagidae_136181,g:Centropages_136182,s:Centropages"
uniq25666,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Centropagidae_136181,g:Centropages_136182,s:Centropages"
uniq254,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq2486,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq2163,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq6668,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq5422,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq5022,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq5212,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq10796,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq12727,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq13271,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
uniq13545,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Clausocalanidae_148994,g:Clausocalanus_148995,s:Clausocalanus"
